"module name","license","repository"
"@apidevtools/json-schema-ref-parser@11.7.2","MIT","https://github.com/APIDevTools/json-schema-ref-parser"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"ajv-formats@2.1.1","MIT","https://github.com/ajv-validator/ajv-formats"
"ajv@8.20.0","MIT","https://github.com/ajv-validator/ajv"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"bath-es5@3.0.3","MIT","https://github.com/anttiviljami/bath-es5"
"call-bind-apply-helpers@1.0.2","MIT","https://github.com/ljharb/call-bind-apply-helpers"
"call-bound@1.0.4","MIT","https://github.com/ljharb/call-bound"
"cookie@1.0.1","MIT","https://github.com/jshttp/cookie"
"dereference-json-schema@0.2.3","MIT","https://github.com/anttiviljami/dereference-json-schema"
"dunder-proto@1.0.1","MIT","https://github.com/es-shims/dunder-proto"
"es-define-property@1.0.1","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"es-object-atoms@1.1.2","MIT","https://github.com/ljharb/es-object-atoms"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-uri@3.1.7","BSD-3-Clause","https://github.com/fastify/fast-uri"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.3.0","MIT","https://github.com/ljharb/get-intrinsic"
"get-proto@1.0.1","MIT","https://github.com/ljharb/get-proto"
"gopd@1.2.0","MIT","https://github.com/ljharb/gopd"
"has-symbols@1.1.0","MIT","https://github.com/inspect-js/has-symbols"
"hasown@2.0.4","MIT","https://github.com/inspect-js/hasOwn"
"js-yaml@4.3.2","MIT","https://github.com/nodeca/js-yaml"
"json-schema-traverse@1.0.0","MIT","https://github.com/epoberezkin/json-schema-traverse"
"lodash.merge@4.6.2","MIT","https://github.com/lodash/lodash"
"lodash@4.18.1","MIT","https://github.com/lodash/lodash"
"math-intrinsics@1.1.0","MIT","https://github.com/es-shims/math-intrinsics"
"mock-json-schema@1.1.2","MIT","https://github.com/anttiviljami/mock-json-schema"
"object-inspect@1.13.4","MIT","https://github.com/inspect-js/object-inspect"
"openapi-backend@5.20.1","MIT","https://github.com/openapistack/openapi-backend"
"openapi-schema-validator@12.1.3","MIT","https://github.com/kogosoftwarellc/open-api/tree/master/packages/openapi-schema-validator"
"openapi-types@12.1.3","MIT","https://github.com/kogosoftwarellc/open-api/tree/master/packages/openapi-types"
"qs@6.16.0","BSD-3-Clause","https://github.com/ljharb/qs"
"require-from-string@2.0.2","MIT","https://github.com/floatdrop/require-from-string"
"side-channel-list@1.0.1","MIT","https://github.com/ljharb/side-channel-list"
"side-channel-map@1.0.1","MIT","https://github.com/ljharb/side-channel-map"
"side-channel-weakmap@1.0.2","MIT","https://github.com/ljharb/side-channel-weakmap"
"side-channel@1.1.1","MIT","https://github.com/ljharb/side-channel"
